abbreviation, officialName, equation, subSystem, proteinClass, proteinGeneAssociation, geneAssociation, proteinAssociation
"EX_ptrc(e)","Putrescine exchange","[e] : ptrc <==>","","","","",""
"EX_pyr(e)","Pyruvate exchange","[e] : pyr <==>","","","","",""
"EX_rib-D(e)","D-Ribose exchange","[e] : rib-D <==>","","","","",""
"EX_ribflv(e)","Riboflavin exchange","[e] : ribflv <==>","","","","",""
"EX_sbt-D(e)","D-Sorbitol exchange","[e] : sbt-D <==>","","","","",""
"EX_sbt-L(e)","L-Sorbitol exchange","[e] : sbt-L <==>","","","","",""
"EX_ser-L(e)","L-Serine exchange","[e] : ser-L <==>","","","","",""
"EX_so3(e)","Sulfite exchange","[e] : so3 <==>","","","","",""
"EX_so4(e)","Sulfate exchange","[e] : so4 <==>","","","","",""
"EX_spmd(e)","Spermidine exchange","[e] : spmd <==>","","","","",""
"EX_sprm(e)","Spermine exchange","[e] : sprm <==>","","","","",""
"EX_srb-L(e)","L-Sorbose exchange","[e] : srb-L <==>","","","","",""
"EX_succ(e)","Succinate exchange","[e] : succ <==>","","","","",""
"EX_sucr(e)","Sucrose exchange","[e] : sucr <==>","","","","",""
"EX_taur(e)","Taurine exchange","[e] : taur <==>","","","","",""
"EX_thm(e)","Thiamin exchange","[e] : thm <==>","","","","",""
"EX_thmmp(e)","Thiamin monophosphate exchange","[e] : thmmp <==>","","","","",""
"EX_thmpp(e)","Thiamine diphosphate exchange","[e] : thmpp <==>","","","","",""
"EX_thr-L(e)","L-Threonine exchange","[e] : thr-L <==>","","","","",""
"EX_thym(e)","Thymine exchange","[e] : thym <==>","","","","",""
"EX_thymd(e)","Thymidine exchange","[e] : thymd <==>","","","","",""
"EX_tre(e)","Trehalose exchange","[e] : tre <==>","","","","",""
"EX_trp-L(e)","L-Tryptophan exchange","[e] : trp-L <==>","","","","",""
"EX_ttdca(e)","tetradecanoate (n-C14:0) exchange","[e] : ttdca <==>","","","","",""
"EX_tyr-L(e)","L-Tyrosine exchange","[e] : tyr-L <==>","","","","",""
"EX_ura(e)","Uracil exchange","[e] : ura <==>","","","","",""
"EX_urea(e)","Urea exchange","[e] : urea <==>","","","","",""
"EX_uri(e)","Uridine exchange","[e] : uri <==>","","","","",""
"EX_val-L(e)","L-Valine exchange","[e] : val-L <==>","","","","",""
"EX_xan(e)","Xanthine exchange","[e] : xan <==>","","","","",""
"EX_xtsn(e)","Xanthosine exchange","[e] : xtsn <==>","","","","",""
"EX_xyl-D(e)","D-Xylose exchange","[e] : xyl-D <==>","","","","",""
"EX_xylt(e)","Xylitol exchange","[e] : xylt <==>","","","","",""
"EX_zymst(e)","zymosterol exchange","[e] : zymst <==>","","","","",""
"EX_zymstest_SC(e)","zymosterol ester, yeast-specific exchange","[e] : zymstest_SC <==>","","","","",""
"FA100tp","fatty acid peroxisomal transport","dca[c] --> dca[x]","Transport, Peroxisomal","","","",""
"FA120ACPH","fatty-acyl-ACP hydrolase","[c] : ddcaACP + h2o <==> ACP + ddca + h","Fatty Acid  Biosynthesis","3.1.2.14","Fas ( YKL182W and YPL231W ) ","( YKL182W  and  YPL231W )","Fas"
"FA120ACPtm","fatty-acyl-ACP mitochondrial transport","ddcaACP[m] --> ddcaACP[c]","Transport, Mitochondrial","","","",""
"FA120tp","fatty acid peroxisomal transport","ddca[c] --> ddca[x]","Transport, Peroxisomal","","","",""
"FA140ACPH","fatty-acyl-ACP hydrolase","[c] : h2o + myrsACP <==> ACP + h + ttdca","Fatty Acid  Biosynthesis","3.1.2.14","Fas ( YKL182W and YPL231W ) ","( YKL182W  and  YPL231W )","Fas"
"FA140ACPtm","fatty-acyl-ACP mitochondrial transport","myrsACP[m] --> myrsACP[c]","Transport, Mitochondrial","","","",""
"FA140COAabcp","fatty acid peroxisomal transport via ABC system","atp[x] + h2o[x] + tdcoa[c] --> adp[x] + h[x] + pi[x] + tdcoa[x]","Transport, Peroxisomal","","( Pxa1-p (YPL147W)  and Pxa2-p (YKL188C)  )","( YPL147W  and  YKL188C )","( Pxa1-p and Pxa2-p )"
"FA140tp","fatty acid peroxisomal transport","ttdca[c] --> ttdca[x]","Transport, Peroxisomal","","","",""
"FA141ACPH","fatty-acyl-ACP hydrolase","[c] : h2o + tdeACP <==> ACP + h + ttdcea","Fatty Acid  Biosynthesis","3.1.2.14","Fas ( YKL182W and YPL231W ) ","( YKL182W  and  YPL231W )","Fas"
"FA141ACPtm","fatty-acyl-ACP mitochondrial transport","tdeACP[m] --> tdeACP[c]","Transport, Mitochondrial","","","",""
"FA141COAabcp","fatty acid peroxisomal transport via ABC system","atp[x] + h2o[x] + tdecoa[c] --> adp[x] + h[x] + pi[x] + tdecoa[x]","Transport, Peroxisomal","","( Pxa1-p (YPL147W)  and Pxa2-p (YKL188C)  )","( YPL147W  and  YKL188C )","( Pxa1-p and Pxa2-p )"
"FA141tp","fatty acid peroxisomal transport","ttdcea[c] --> ttdcea[x]","Transport, Peroxisomal","","","",""
"FA160ACPH","fatty-acyl-ACP hydrolase","[c] : h2o + palmACP <==> ACP + h + hdca","Fatty Acid  Biosynthesis","3.1.2.14","Fas ( YKL182W and YPL231W ) ","( YKL182W  and  YPL231W )","Fas"
"FA160ACPtm","fatty-acyl-ACP mitochondrial transport","palmACP[m] --> palmACP[c]","Transport, Mitochondrial","","","",""
"FA160COAabcp","fatty acyl-CoA peroxisomal transport via ABC system","atp[x] + h2o[x] + pmtcoa[c] --> adp[x] + h[x] + pi[x] + pmtcoa[x]","Transport, Peroxisomal","","( Pxa1-p (YPL147W)  and Pxa2-p (YKL188C)  )","( YPL147W  and  YKL188C )","( Pxa1-p and Pxa2-p )"
"FA160tp","fatty acid peroxisomal transport","hdca[c] --> hdca[x]","Transport, Peroxisomal","","","",""
"FA161ACPH","fatty-acyl-ACP hydrolase","[c] : h2o + hdeACP <==> ACP + h + hdcea","Fatty Acid  Biosynthesis","3.1.2.14","Fas ( YKL182W and YPL231W ) ","( YKL182W  and  YPL231W )","Fas"
"FA161ACPtm","fatty-acyl-ACP mitochondrial transport","hdeACP[m] --> hdeACP[c]","Transport, Mitochondrial","","","",""
"FA161COAabcp","fatty acyl-CoA peroxisomal transport via ABC system","atp[x] + h2o[x] + hdcoa[c] --> adp[x] + h[x] + hdcoa[x] + pi[x]","Transport, Peroxisomal","","( Pxa1-p (YPL147W)  and Pxa2-p (YKL188C)  )","( YPL147W  and  YKL188C )","( Pxa1-p and Pxa2-p )"
"FA161tp","fatty acid peroxisomal transport","hdcea[c] --> hdcea[x]","Transport, Peroxisomal","","","",""
"FA180ACPH","fatty-acyl-ACP hydrolase","[c] : h2o + ocdcaACP <==> ACP + h + ocdca","Fatty Acid  Biosynthesis","3.1.2.14","Fas ( YKL182W and YPL231W ) ","( YKL182W  and  YPL231W )","Fas"
"FA180ACPtm","fatty-acyl-ACP mitochondrial transport","ocdcaACP[m] --> ocdcaACP[c]","Transport, Mitochondrial","","","",""
"FA180COAabcp","fatty acyl-CoA transport via ABC system","atp[x] + h2o[x] + stcoa[c] --> adp[x] + h[x] + pi[x] + stcoa[x]","Transport, Peroxisomal","","( Pxa1-p (YPL147W)  and Pxa2-p (YKL188C)  )","( YPL147W  and  YKL188C )","( Pxa1-p and Pxa2-p )"
"FA181ACPH","fatty-acyl-ACP hydrolase","[c] : h2o + octeACP <==> ACP + h + ocdcea","Fatty Acid  Biosynthesis","3.1.2.14","Fas ( YKL182W and YPL231W ) ","( YKL182W  and  YPL231W )","Fas"
"FA181ACPtm","fatty-acyl-ACP mitochondrial transport","octeACP[m] --> octeACP[c]","Transport, Mitochondrial","","","",""
"FA181COAabcp","fatty acyl-CoA peroxisomal transport via ABC system","atp[x] + h2o[x] + odecoa[c] --> adp[x] + h[x] + odecoa[x] + pi[x]","Transport, Peroxisomal","","( Pxa1-p (YPL147W)  and Pxa2-p (YKL188C)  )","( YPL147W  and  YKL188C )","( Pxa1-p and Pxa2-p )"
"FA182ACPH","fatty-acyl-ACP hydrolase","[c] : h2o + ocdcyaACP <==> ACP + h + ocdcya","Fatty Acid  Biosynthesis","3.1.2.14","Fas ( YKL182W and YPL231W ) ","( YKL182W  and  YPL231W )","Fas"
"FA182ACPtm","fatty-acyl-ACP mitochondrial transport","ocdcyaACP[m] --> ocdcyaACP[c]","Transport, Mitochondrial","","","",""
"FA182COAabcp","fatty acyl-CoA peroxisomal transport via ABC system","atp[x] + h2o[x] + ocdycacoa[c] --> adp[x] + h[x] + ocdycacoa[x] + pi[x]","Transport, Peroxisomal","","( Pxa1-p (YPL147W)  and Pxa2-p (YKL188C)  )","( YPL147W  and  YKL188C )","( Pxa1-p and Pxa2-p )"
"FA240tp","fatty acid peroxisomal transport","ttc[c] --> ttc[x]","Transport, Peroxisomal","","Fat1-p (YBR041W) ","YBR041W","Fat1-p"
"FA260tp","fatty acid peroxisomal transport","hexc[c] --> hexc[x]","Transport, Peroxisomal","","Fat1-p (YBR041W) ","YBR041W","Fat1-p"
"FA80tp","fatty acid peroxisomal transport","octa[c] --> octa[x]","Transport, Peroxisomal","","","",""
"FACOAL100p","fatty-acid--CoA ligase (decanoate), peroxisomal","[x] : atp + coa + dca <==> amp + dcacoa + ppi","Fatty Acid  Biosynthesis","6.2.1.3","Faa2-p (YER015W) ","YER015W","Faa2-p"
"FACOAL120p","fatty-acid--CoA ligase (dodecanoate), peroxisomal","[x] : atp + coa + ddca <==> amp + ddcacoa + ppi","Fatty Acid  Biosynthesis","6.2.1.3","Faa2-p (YER015W) ","YER015W","Faa2-p"
"FACOAL140","fatty-acid--CoA ligase (tetradecanoate)","[c] : atp + coa + ttdca <==> amp + ppi + tdcoa","Fatty Acid  Biosynthesis","6.2.1.3","( Faa1 (YOR317W)  ) or ( Faa3 (YIL009W)  ) or ( Faa4 (YMR246W)  )","( YOR317W  or  YIL009W  or  YMR246W )","( Faa1 ) or ( Faa3 ) or ( Faa4 )"
"FACOAL140p","fatty-acid--CoA ligase (tetradecanoate), peroxisomal","[x] : atp + coa + ttdca <==> amp + ppi + tdcoa","Fatty Acid  Biosynthesis","6.2.1.3","Faa2-p (YER015W) ","YER015W","Faa2-p"
"FACOAL141","fatty-acid--CoA ligase (tetradecenoate)","[c] : atp + coa + ttdcea <==> amp + ppi + tdecoa","Fatty Acid  Biosynthesis","6.2.1.3","( Faa1 (YOR317W)  ) or ( Faa3 (YIL009W)  ) or ( Faa4 (YMR246W)  )","( YOR317W  or  YIL009W  or  YMR246W )","( Faa1 ) or ( Faa3 ) or ( Faa4 )"
"FACOAL141p","fatty-acid--CoA ligase (tetradecenoate), peroxisomal","[x] : atp + coa + ttdcea <==> amp + ppi + tdecoa","Fatty Acid  Biosynthesis","6.2.1.3","Faa2-p (YER015W) ","YER015W","Faa2-p"
"FACOAL160","fatty-acid--CoA ligase (hexadecanoate)","[c] : atp + coa + hdca <==> amp + pmtcoa + ppi","Fatty Acid  Biosynthesis","6.2.1.3","( Faa1 (YOR317W)  ) or ( Faa3 (YIL009W)  ) or ( Faa4 (YMR246W)  )","( YOR317W  or  YIL009W  or  YMR246W )","( Faa1 ) or ( Faa3 ) or ( Faa4 )"
"FACOAL160p","fatty-acid--CoA ligase (hexadecanoate), peroxisomal","[x] : atp + coa + hdca <==> amp + pmtcoa + ppi","Fatty Acid  Biosynthesis","6.2.1.3","Faa2-p (YER015W) ","YER015W","Faa2-p"
"FACOAL161","fatty-acid--CoA ligase (hexadecenoate)","[c] : atp + coa + hdcea <==> amp + hdcoa + ppi","Fatty Acid  Biosynthesis","6.2.1.3","( Faa1 (YOR317W)  ) or ( Faa3 (YIL009W)  ) or ( Faa4 (YMR246W)  )","( YOR317W  or  YIL009W  or  YMR246W )","( Faa1 ) or ( Faa3 ) or ( Faa4 )"
"FACOAL161p","fatty-acid--CoA ligase (hexadecenoate), peroxisomal","[x] : atp + coa + hdcea <==> amp + hdcoa + ppi","Fatty Acid  Biosynthesis","6.2.1.3","Faa2-p (YER015W) ","YER015W","Faa2-p"
"FACOAL180","fatty-acid--CoA ligase (octadecanoate)","[c] : atp + coa + ocdca <==> amp + ppi + stcoa","Fatty Acid  Biosynthesis","6.2.1.3","( Faa1 (YOR317W)  ) or ( Faa3 (YIL009W)  ) or ( Faa4 (YMR246W)  )","( YOR317W  or  YIL009W  or  YMR246W )","( Faa1 ) or ( Faa3 ) or ( Faa4 )"
"FACOAL181","fatty-acid--CoA ligase (octadecenoate)","[c] : atp + coa + ocdcea <==> amp + odecoa + ppi","Fatty Acid  Biosynthesis","6.2.1.3","( Faa1 (YOR317W)  ) or ( Faa3 (YIL009W)  ) or ( Faa4 (YMR246W)  )","( YOR317W  or  YIL009W  or  YMR246W )","( Faa1 ) or ( Faa3 ) or ( Faa4 )"
"FACOAL182","fatty-acid--CoA ligase (octadecynoate)","[c] : atp + coa + ocdcya <==> amp + ocdycacoa + ppi","Fatty Acid  Biosynthesis","6.2.1.3","( Faa1 (YOR317W)  ) or ( Faa4 (YMR246W)  ) or ( Faa3 (YIL009W)  )","( YOR317W  or  YMR246W  or  YIL009W )","( Faa1 ) or ( Faa4 ) or ( Faa3 )"
"FACOAL240p","fatty-acid--CoA ligase (n-C24:0), peroxisomal","[x] : atp + coa + ttc <==> amp + ppi + ttccoa","Fatty Acid  Biosynthesis","6.2.1.3","Fat1-p (YBR041W) ","YBR041W","Fat1-p"
"FACOAL260p","fatty-acid--CoA ligase (n-C26:0), peroxisomal","[x] : atp + coa + hexc <==> amp + hexccoa + ppi","Fatty Acid  Biosynthesis","6.2.1.3","Fat1-p (YBR041W) ","YBR041W","Fat1-p"
"FACOAL80p","fatty-acid--CoA ligase (octanoate), peroxisomal","[x] : atp + coa + octa <==> amp + occoa + ppi","Fatty Acid  Biosynthesis","6.2.1.2","Faa2-p (YER015W) ","YER015W","Faa2-p"
"FADFMNtm","FAD/FMN antiport","fad[c] + fmn[m] --> fad[m] + fmn[c]","Transport, Mitochondrial","","Flx1-m (YIL134W) ","YIL134W","Flx1-m"
"FALDH","formaldehyde dehydrogenase","[c] : fald + gthrd + nad <==> Sfglutth + h + nadh","Pyruvate Metabolism","1.2.1.1","Sfa1 (YDL168W) ","YDL168W","Sfa1"
"FAO141p_even","fatty acid oxidation","[x] : (6) coa + (6) h2o + (6) nad + nadph + (6) o2 + tdecoa --> (7) accoa + (5) h + (6) h2o2 + (6) nadh + nadp","Fatty Acid Degradation","","( Eci1-p (YLR284C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  and Sps19-p (YNL202W)  ) or ( Dci1-p (YOR180C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  and Sps19-p (YNL202W)  ) or ( Dci1-p (YOR180C)  and Eci1-p (YLR284C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  and Sps19-p (YNL202W)  )","( ( YLR284C  and  YKR009C  and  YIL160C  and  YGL205W  and  YNL202W )  or  ( YOR180C  and  YKR009C  and  YIL160C  and  YGL205W  and  YNL202W )  or  ( YOR180C  and  YLR284C  and  YKR009C  and  YIL160C  and  YGL205W  and  YNL202W ) )","( Eci1-p and Fox2-p and Pot1-p and Pox1-p and Sps19-p ) or ( Dci1-p and Fox2-p and Pot1-p and Pox1-p and Sps19-p ) or ( Dci1-p and Eci1-p and Fox2-p and Pot1-p and Pox1-p and Sps19-p )"
"FAO141p_odd","Fatty acid oxidation","[x] : (6) coa + (6) h2o + (6) nad + (5) o2 + tdecoa --> (7) accoa + (6) h + (5) h2o2 + (6) nadh","Fatty Acid Degradation","","( Eci1-p (YLR284C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  ) or ( Dci1-p (YOR180C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  )","( ( YLR284C  and  YKR009C  and  YIL160C  and  YGL205W )  or  ( YOR180C  and  YKR009C  and  YIL160C  and  YGL205W ) )","( Eci1-p and Fox2-p and Pot1-p and Pox1-p ) or ( Dci1-p and Fox2-p and Pot1-p and Pox1-p )"
"FAO161p_even","Fatty acid oxidation","[x] : (7) coa + (7) h2o + hdcoa + (7) nad + nadph + (7) o2 --> (8) accoa + (6) h + (7) h2o2 + (7) nadh + nadp","Fatty Acid Degradation","","( Eci1-p (YLR284C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  and Sps19-p (YNL202W)  ) or ( Dci1-p (YOR180C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  and Sps19-p (YNL202W)  ) or ( Dci1-p (YOR180C)  and Eci1-p (YLR284C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  and Sps19-p (YNL202W)  )","( ( YLR284C  and  YKR009C  and  YIL160C  and  YGL205W  and  YNL202W )  or  ( YOR180C  and  YKR009C  and  YIL160C  and  YGL205W  and  YNL202W )  or  ( YOR180C  and  YLR284C  and  YKR009C  and  YIL160C  and  YGL205W  and  YNL202W ) )","( Eci1-p and Fox2-p and Pot1-p and Pox1-p and Sps19-p ) or ( Dci1-p and Fox2-p and Pot1-p and Pox1-p and Sps19-p ) or ( Dci1-p and Eci1-p and Fox2-p and Pot1-p and Pox1-p and Sps19-p )"
"FAO161p_odd","Fatty acid oxidation","[x] : (7) coa + (7) h2o + hdcoa + (7) nad + (6) o2 --> (8) accoa + (7) h + (6) h2o2 + (7) nadh","Fatty Acid Degradation","","( Eci1-p (YLR284C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  ) or ( Dci1-p (YOR180C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  )","( ( YLR284C  and  YKR009C  and  YIL160C  and  YGL205W )  or  ( YOR180C  and  YKR009C  and  YIL160C  and  YGL205W ) )","( Eci1-p and Fox2-p and Pot1-p and Pox1-p ) or ( Dci1-p and Fox2-p and Pot1-p and Pox1-p )"
"FAO181p_even","Fatty acid oxidation","[x] : (8) coa + (8) h2o + (8) nad + nadph + (8) o2 + odecoa --> (9) accoa + (7) h + (8) h2o2 + (8) nadh + nadp","Fatty Acid Degradation","","( Eci1-p (YLR284C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  and Sps19-p (YNL202W)  ) or ( Dci1-p (YOR180C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  and Sps19-p (YNL202W)  ) or ( Dci1-p (YOR180C)  and Eci1-p (YLR284C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  and Sps19-p (YNL202W)  )","( ( YLR284C  and  YKR009C  and  YIL160C  and  YGL205W  and  YNL202W )  or  ( YOR180C  and  YKR009C  and  YIL160C  and  YGL205W  and  YNL202W )  or  ( YOR180C  and  YLR284C  and  YKR009C  and  YIL160C  and  YGL205W  and  YNL202W ) )","( Eci1-p and Fox2-p and Pot1-p and Pox1-p and Sps19-p ) or ( Dci1-p and Fox2-p and Pot1-p and Pox1-p and Sps19-p ) or ( Dci1-p and Eci1-p and Fox2-p and Pot1-p and Pox1-p and Sps19-p )"
"FAO181p_odd","Fatty acid oxidation","[x] : (8) coa + (8) h2o + (8) nad + (7) o2 + odecoa --> (9) accoa + (8) h + (7) h2o2 + (8) nadh","Fatty Acid Degradation","","( Eci1-p (YLR284C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  ) or ( Dci1-p (YOR180C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  )","( ( YLR284C  and  YKR009C  and  YIL160C  and  YGL205W )  or  ( YOR180C  and  YKR009C  and  YIL160C  and  YGL205W ) )","( Eci1-p and Fox2-p and Pot1-p and Pox1-p ) or ( Dci1-p and Fox2-p and Pot1-p and Pox1-p )"
"FAO182p_even/even","Fatty acid oxidation","[x] : (8) coa + (8) h2o + (8) nad + (2) nadph + (8) o2 + ocdycacoa --> (9) accoa + (6) h + (8) h2o2 + (8) nadh + (2) nadp","Fatty Acid Degradation","","( Dci1-p (YOR180C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  and Sps19-p (YNL202W)  ) or ( Eci1-p (YLR284C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  and Sps19-p (YNL202W)  ) or ( Dci1-p (YOR180C)  and Eci1-p (YLR284C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  and Sps19-p (YNL202W)  )","( ( YOR180C  and  YKR009C  and  YIL160C  and  YGL205W  and  YNL202W )  or  ( YLR284C  and  YKR009C  and  YIL160C  and  YGL205W  and  YNL202W )  or  ( YOR180C  and  YLR284C  and  YKR009C  and  YIL160C  and  YGL205W  and  YNL202W ) )","( Dci1-p and Fox2-p and Pot1-p and Pox1-p and Sps19-p ) or ( Eci1-p and Fox2-p and Pot1-p and Pox1-p and Sps19-p ) or ( Dci1-p and Eci1-p and Fox2-p and Pot1-p and Pox1-p and Sps19-p )"
"FAO182p_even/odd","Fatty acid oxidation","[x] : (8) coa + (8) h2o + (8) nad + nadph + (7) o2 + ocdycacoa --> (9) accoa + (7) h + (7) h2o2 + (8) nadh + nadp","Fatty Acid Degradation","","( Eci1-p (YLR284C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  and Sps19-p (YNL202W)  ) or ( Dci1-p (YOR180C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  and Sps19-p (YNL202W)  )","( ( YLR284C  and  YKR009C  and  YIL160C  and  YGL205W  and  YNL202W )  or  ( YOR180C  and  YKR009C  and  YIL160C  and  YGL205W  and  YNL202W ) )","( Eci1-p and Fox2-p and Pot1-p and Pox1-p and Sps19-p ) or ( Dci1-p and Fox2-p and Pot1-p and Pox1-p and Sps19-p )"
"FAO182p_odd/odd","Fatty acid oxidation","[x] : (8) coa + (8) h2o + (8) nad + (6) o2 + ocdycacoa --> (9) accoa + (8) h + (6) h2o2 + (8) nadh","Fatty Acid Degradation","","( Eci1-p (YLR284C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  ) or ( Dci1-p (YOR180C)  and Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  )","( ( YLR284C  and  YKR009C  and  YIL160C  and  YGL205W )  or  ( YOR180C  and  YKR009C  and  YIL160C  and  YGL205W ) )","( Eci1-p and Fox2-p and Pot1-p and Pox1-p ) or ( Dci1-p and Fox2-p and Pot1-p and Pox1-p )"
"FAO240p","fatty acid oxidation (tetradecansoyl-CoA), peroxisomal","[x] : (3) coa + (3) h2o + (3) nad + (3) o2 + ttccoa --> (3) accoa + (3) h + (3) h2o2 + (3) nadh + stcoa","Fatty Acid Degradation","","( Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  )","( YKR009C  and  YIL160C  and  YGL205W )","( Fox2-p and Pot1-p and Pox1-p )"
"FAO80p","fatty acid oxidation (octanoyl-CoA), peroxisomal","[x] : (3) coa + (3) h2o + (3) nad + (3) o2 + occoa --> (4) accoa + (3) h + (3) h2o2 + (3) nadh","Fatty Acid Degradation","","( Fox2-p (YKR009C)  and Pot1-p (YIL160C)  and Pox1-p (YGL205W)  )","( YKR009C  and  YIL160C  and  YGL205W )","( Fox2-p and Pot1-p and Pox1-p )"
"FAS100","fatty acid synthase (n-C10:0)","[c] : (3) h + malcoa + (2) nadph + octa --> co2 + coa + dca + h2o + (2) nadp","Fatty Acid  Biosynthesis","2.3.1.85","( Acb1 (YGR037C)  and Acc1 (YNR016C)  and Fas ( YKL182W and YPL231W )  )","( YGR037C  and  YNR016C  and  ( YKL182W  and  YPL231W ) )","( Acb1 and Acc1 and Fas )"
"FAS100ACPm","fatty-acyl-ACP synthase (n-C10:0ACP), mitochondrial","[m] : (3) h + malACP + (2) nadph + ocACP --> ACP + co2 + dcaACP + h2o + (2) nadp","Fatty Acid  Biosynthesis","","( Acp1-m (YKL192C)  and Cem1-m (YER061C)  and Htd2-m (YHR067W)  and Mct1-m (YOR221C)  and Mrf1-m (YBR026C)  and Oar1-m (YKL055C)  )","( YKL192C  and  YER061C  and  YHR067W  and  YOR221C  and  YBR026C  and  YKL055C )","( Acp1-m and Cem1-m and Htd2-m and Mct1-m and Mrf1-m and Oar1-m )"
"FAS100COA","fatty acyl-CoA synthase (n-C10:0CoA)","[c] : (3) h + malcoa + (2) nadph + occoa --> co2 + coa + dcacoa + h2o + (2) nadp","Fatty Acid  Biosynthesis","2.3.1.86","( Acb1 (YGR037C)  and Acc1 (YNR016C)  and Fas ( YKL182W and YPL231W )  )","( YGR037C  and  YNR016C  and  ( YKL182W  and  YPL231W ) )","( Acb1 and Acc1 and Fas )"
"FAS120","fatty acid synthase (n-C12:0)","[c] : dca + (3) h + malcoa + (2) nadph --> co2 + coa + ddca + h2o + (2) nadp","Fatty Acid  Biosynthesis","2.3.1.85","( Acb1 (YGR037C)  and Acc1 (YNR016C)  and Fas ( YKL182W and YPL231W )  )","( YGR037C  and  YNR016C  and  ( YKL182W  and  YPL231W ) )","( Acb1 and Acc1 and Fas )"
"FAS120ACPm","fatty-acyl-ACP synthase (n-C12:0ACP), mitochondrial","[m] : dcaACP + (3) h + malACP + (2) nadph --> ACP + co2 + ddcaACP + h2o + (2) nadp","Fatty Acid  Biosynthesis","","( Acp1-m (YKL192C)  and Cem1-m (YER061C)  and Htd2-m (YHR067W)  and Mct1-m (YOR221C)  and Mrf1-m (YBR026C)  and Oar1-m (YKL055C)  )","( YKL192C  and  YER061C  and  YHR067W  and  YOR221C  and  YBR026C  and  YKL055C )","( Acp1-m and Cem1-m and Htd2-m and Mct1-m and Mrf1-m and Oar1-m )"
