FUNCTIONAL ROLE	GENE ID	SUBSYSTEMS	SUBSYSTEM CLASS	REACTIONS
"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)"	peg.1059|peg.1139|peg.1144	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	Membrane Transport	
"ATP-dependent nuclease, subunit B"	peg.1062	ATP-dependent_Nuclease	DNA Metabolism	
"ATP-dependent nuclease, subunit A"	peg.1063	ATP-dependent_Nuclease	DNA Metabolism	
Exonuclease SbcD	peg.1064	"DNA_repair,_bacterial"	DNA Metabolism	
Exonuclease SbcC	peg.1065	"DNA_repair,_bacterial"	DNA Metabolism	
"Protein GerPF, required for proper assembly of spore coat, mutations lead to super-dormant spore"	peg.1067			
"Protein GerPE, required for proper assembly of spore coat, mutations lead to super-dormant spore"	peg.1068			
"Protein GerPD, required for proper assembly of spore coat, mutations lead to super-dormant spore"	peg.1069			
"Protein GerPC, required for proper assembly of spore coat, mutations lead to super-dormant spore"	peg.1070			
"Protein GerPB, required for proper assembly of spore coat, mutations lead to super-dormant spore"	peg.1071			
"Protein GerPA, required for proper assembly of spore coat, mutations lead to super-dormant spore"	peg.1072			
Fumarylacetoacetate hydrolase family protein	peg.1075	Central_meta-cleavage_pathway_of_aromatic_compound_degradation|Pterin_carbinolamine_dehydratase|Pterin_metabolism_3	"Metabolism of Aromatic Compounds|Cofactors, Vitamins, Prosthetic Groups, Pigments"	
Uncharacterized protein UPF0344	peg.1076			
"cell wall-associated protein precursor (CWBP23, CWBP52)"	peg.1077			
"Uncharacterized protein yisN, only in Bacillus"	peg.1078			
Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	peg.1079|peg.3057|peg.3997	"Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis"	Amino Acids and Derivatives	rxn00416
Phytoene synthase (EC 2.5.1.32)	peg.1080	Carotenoids	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05031|rxn01489|rxn02945
Na+ driven multidrug efflux pump	peg.1081|peg.1841|peg.2177			
putative transcriptional regulator	peg.1082|peg.1466			
Predicted transcriptional regulator of the myo-inositol catabolism operon	peg.1083	Inositol_catabolism	Carbohydrates	
Myo-inositol 2-dehydrogenase like (EC 1.1.1.18)	peg.1084			rxn00879
DinB protein	peg.1085			
pentapeptide repeat family protein	peg.1089			
Adenylylsulfate kinase (EC 2.7.1.25)	peg.1091|peg.1562	Cysteine_Biosynthesis|Inorganic_Sulfur_Assimilation|O-Methyl_Phosphoramidate_Capsule_Modification_in_Campylobacter|Sulfate_assimilation|Superpathway_of_cysteine_biosynthesis	Amino Acids and Derivatives|Sulfur Metabolism|Cell Wall and Capsule	rxn00361
"Sulfate adenylyltransferase, dissimilatory-type (EC 2.7.7.4)"	peg.1092|peg.1561	Inorganic_Sulfur_Assimilation|Sulfate_assimilation	Sulfur Metabolism	rxn00379
Adenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.10)	peg.1093|peg.1559	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	rxn05239|rxn05256
Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8)	peg.1093|peg.1559	Cysteine_Biosynthesis|Inorganic_Sulfur_Assimilation|Superpathway_of_cysteine_biosynthesis	Amino Acids and Derivatives|Sulfur Metabolism	rxn05239|rxn05256
Probable 2-phosphosulfolactate phosphatase (EC 3.1.3.71)	peg.1094			rxn04036
Phosphosulfolactate synthase (EC 4.4.1.19)	peg.1095	coenzyme_M_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn07307
putative mandelate racemase	peg.1097			
"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"	peg.1101	5-FCL-like_protein|Methionine_Biosynthesis|One-carbon_metabolism_by_tetrahydropterines|Serine-glyoxylate_cycle|YgfZ	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Amino Acids and Derivatives|Carbohydrates"	rxn00910
Homolog of homocysteine-binding domain	peg.1101			rxn00910
Protein yajQ	peg.1102			
S1 RNA binding domain	peg.1103			
extracellular neutral protease B	peg.1110			
DegV family protein	peg.1111|peg.3554			
intracellular proteinase inhibitor BsuPI	peg.1113			
Putative hydrolase of the alpha/beta superfamily	peg.1115			
PaaD-like protein involved in Fe-S cluster assembly	peg.1116			
"probably aromatic ring hydroxylating enzyme, evidenced by COGnitor"	peg.1116			
"oxidoreductase, FAD-binding"	peg.1118			
Multidrug resistance protein B	peg.1119|peg.2378|peg.3038			
N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	peg.1120	Arginine_Biosynthesis|Arginine_Biosynthesis_extended	Amino Acids and Derivatives	rxn02465
Glutamate N-acetyltransferase (EC 2.3.1.35)	peg.1121	Arginine_Biosynthesis|Arginine_Biosynthesis_extended	Amino Acids and Derivatives	rxn00192|rxn01636
N-acetylglutamate synthase (EC 2.3.1.1)	peg.1121	Arginine_Biosynthesis|Arginine_Biosynthesis_extended	Amino Acids and Derivatives	rxn00192|rxn01636
Acetylglutamate kinase (EC 2.7.2.8)	peg.1122	Arginine_Biosynthesis|Arginine_Biosynthesis_extended	Amino Acids and Derivatives	rxn01917
Acetylornithine aminotransferase (EC 2.6.1.11)	peg.1123	Arginine_Biosynthesis|Arginine_Biosynthesis_extended	Amino Acids and Derivatives	rxn01637
Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	peg.1124|peg.1553	Macromolecular_synthesis_operon	Macromolecular Synthesis	rxn00414
Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	peg.1125|peg.1554	Macromolecular_synthesis_operon	Macromolecular Synthesis	rxn00414
Ornithine carbamoyltransferase (EC 2.1.3.3)	peg.1126	Arginine_Biosynthesis|Arginine_Biosynthesis_extended|Arginine_Deiminase_Pathway|Arginine_and_Ornithine_Degradation	Amino Acids and Derivatives	rxn01019
positive regulator of comK	peg.1131			
"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)"	peg.1134	Fatty_Acid_Biosynthesis_FASII	Fatty Acids and Lipids	rxn05460|rxn05413|rxn05348|rxn05346|rxn05344|rxn05350|rxn05349|rxn05396|rxn05363|rxn05388|rxn05429|rxn05359|rxn05367|rxn05417|rxn05371|rxn05347|rxn05400|rxn05425|rxn05421|rxn05392|rxn05409|rxn05404|rxn05375|rxn05345|rxn05379|rxn05384|rxn05343
"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)"	peg.1135	Fatty_Acid_Biosynthesis_FASII|Unsaturated_Fatty_Acid_Metabolism|mycolic_acid_synthesis	Fatty Acids and Lipids|Cell Wall and Capsule	rxn05460|rxn05413|rxn05348|rxn05346|rxn05344|rxn05350|rxn05349|rxn05396|rxn05363|rxn05388|rxn05429|rxn05359|rxn05367|rxn05417|rxn05371|rxn05347|rxn05400|rxn05425|rxn05421|rxn05392|rxn05409|rxn05404|rxn05375|rxn05345|rxn05379|rxn05384|rxn05343
Oligopeptide transport ATP-binding protein oppD (TC 3.A.1.5.1)	peg.1137|peg.1147	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	Membrane Transport	
Oligopeptide transport ATP-binding protein oppF (TC 3.A.1.5.1)	peg.1138|peg.1148|peg.1302	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	Membrane Transport	
oligopeptide transport	peg.1140			
Oligopeptide transport system permease protein oppC (TC 3.A.1.5.1)	peg.1141|peg.1146	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	Membrane Transport	
Tryptophanyl-tRNA synthetase (EC 6.1.1.2)	peg.1143	tRNA_aminoacylation	Protein Metabolism	rxn05296
Oligopeptide transport system permease protein oppB (TC 3.A.1.5.1)	peg.1145	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	Membrane Transport	
Arsenate reductase family protein	peg.1151|peg.2481			rxn08171
Negative regulator of genetic competence MecA	peg.1153|peg.2301	Gram_Positive_Competence	DNA Metabolism	
Competence protein CoiA	peg.1154	Gram_Positive_Competence	DNA Metabolism	
Oligoendopeptidase F (EC 3.4.24.-)	peg.1155			
"YjbH-like, GTP pyrophosphokinase domain"	peg.1156			
Hemoglobin-like protein HbO	peg.1157			
Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)	peg.1158			
Adenylate cyclase	peg.1159			rxn00065
GTP pyrophosphokinase (EC 2.7.6.5)	peg.1161			rxn00303
NAD kinase (EC 2.7.1.23)	peg.1162	NAD_and_NADP_cofactor_biosynthesis_global	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn10057|rxn10060|rxn10056|rxn10058|rxn10059|rxn00077
"Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YjbO type"	peg.1163	Ribosome_biogenesis_bacterial|rRNA_modification_Bacteria	Protein Metabolism|RNA Metabolism	
serine/threonine protein phosphatase	peg.1164			
Na+/H+ antiporter	peg.1165			
Thiaminase II (EC 3.5.99.2)	peg.1166	Thiamin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn01537
Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	peg.1167|peg.3834	Thiamin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02305
Glycine oxidase ThiO (EC 1.4.3.19)	peg.1168	Thiamin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn04092|rxn00269
Sulfur carrier protein ThiS	peg.1169	Thiamin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
Thiazole biosynthesis protein ThiG	peg.1170	Thiamin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
Sulfur carrier protein adenylyltransferase ThiF	peg.1171	Thiamin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
Phosphomethylpyrimidine kinase (EC 2.7.4.7)	peg.1172|peg.3807	Thiamin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn03108
Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	peg.1173	Fatty_Acid_Biosynthesis_FASII|mycolic_acid_synthesis	Fatty Acids and Lipids|Cell Wall and Capsule	rxn05323|rxn05448|rxn05441|rxn05328|rxn05445|rxn05446|rxn05435|rxn05326|rxn05437|rxn05324|rxn05464|rxn05322|rxn05439|rxn05443|rxn05434|rxn05442|rxn05436|rxn05447|rxn05438|rxn05327|rxn05450|rxn05440|rxn05444|rxn05433|rxn05325|rxn05449
Spore coat protein Z	peg.1175	Bsub-Spore-Coat	Cell Wall and Capsule	
Spore coat protein Y	peg.1176	Bsub-Spore-Coat	Cell Wall and Capsule	
Spore coat protein X	peg.1177	Bsub-Spore-Coat	Cell Wall and Capsule	
Spore coat protein W	peg.1178	Bsub-Spore-Coat	Cell Wall and Capsule	
Spore coat protein V	peg.1179	Bsub-Spore-Coat	Cell Wall and Capsule	
putative ATP-dependent DNA helicase YjcD	peg.1183	"DNA_repair,_bacterial_UvrD_and_related_helicases"	DNA Metabolism	
2'-5' RNA ligase (EC 6.5.1.-)	peg.1186			
Acetyl esterase (EC 3.1.1.-)	peg.1187			
Cystathionine gamma-synthase (EC 2.5.1.48)	peg.1188	Methionine_Biosynthesis	Amino Acids and Derivatives	rxn00740|rxn01816
Cystathionine beta-lyase (EC 4.4.1.8)	peg.1189	Methionine_Biosynthesis	Amino Acids and Derivatives	rxn00950|rxn00566
Ribosomal-protein-S5p-alanine acetyltransferase	peg.1190	Ribosome_biogenesis_bacterial	Protein Metabolism	
DUF819 domain-containing protein	peg.1191			
YJCO protein	peg.1194			
YJCR protein	peg.1197			
3-oxoacyl-[acyl-carrier protein] reductase paralog (EC 1.1.1.100)	peg.1199|peg.3295			
"Activator of the mannose operon (transcriptional antiterminator), BglG family"	peg.1201	Mannose_Metabolism	Carbohydrates	
"PTS system, mannose-specific IIA component (EC 2.7.1.69)"	peg.1202	Mannose_Metabolism|Sialic_Acid_Metabolism	Carbohydrates|Cell Wall and Capsule	rxn05610
"PTS system, mannose-specific IIB component (EC 2.7.1.69)"	peg.1202	Mannose_Metabolism|Sialic_Acid_Metabolism	Carbohydrates|Cell Wall and Capsule	rxn05610
"PTS system, mannose-specific IIC component (EC 2.7.1.69)"	peg.1202	Mannose_Metabolism|Sialic_Acid_Metabolism	Carbohydrates|Cell Wall and Capsule	rxn05610
Transcriptional regulator	peg.1207|peg.2714|peg.3526			
"Heme O synthase, protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB"	peg.1209|peg.1490			rxn08707
Spore coat protein T precursor	peg.1210	Bsub-Spore-Coat	Cell Wall and Capsule	
polysaccharide deacetylase family protein	peg.1211			
Formate dehydrogenase related protein	peg.1217|peg.2725			
MutT/nudix family protein	peg.1220			
putative cytochrome P450 hydroxylase	peg.1222|peg.1727|peg.2676|peg.3022			
amino acid ABC transporter ATP-binding protein	peg.1226			
Cupin domain-containing protein	peg.1228			
NADH dehydrogenase (EC 1.6.99.3)	peg.1230|peg.3216|peg.3226	Carboxysome|Respiratory_dehydrogenases_1	Carbohydrates|Respiration	rxn05747
Uronate isomerase (EC 5.3.1.12)	peg.1231	D-Galacturonate_Utilization|Entner-Doudoroff_Pathway	Carbohydrates	rxn01457|rxn01080
"Melibiose carrier protein, Na+/melibiose symporter"	peg.1232	Melibiose_Utilization	Carbohydrates	rxn05612
"(R)-2-hydroxyacid dehydrogenase, similar to L-sulfolactate dehydrogenase (EC 1.1.1.272)"	peg.1233	Glyoxylate_bypass	Carbohydrates	rxn00248
"Oxidoreductase, zinc-binding dehydrogenase family (EC 1.1.1.-)"	peg.1234			
Mannonate dehydratase (EC 4.2.1.8)	peg.1235	D-Galacturonate_Utilization|Entner-Doudoroff_Pathway	Carbohydrates	rxn03885
D-mannonate oxidoreductase (EC 1.1.1.57)	peg.1236	D-Galacturonate_Utilization|Entner-Doudoroff_Pathway	Carbohydrates	rxn01775
Hexuronate transporter	peg.1237	Alginate_metabolism|D-Galacturonate_Utilization	Cell Wall and Capsule|Carbohydrates	rxn05574|rxn05673
Hexuronate utilization operon transcriptional repressor ExuR	peg.1238	D-Galacturonate_Utilization	Carbohydrates	
Altronate oxidoreductase (EC 1.1.1.58)	peg.1239	D-Galacturonate_Utilization	Carbohydrates	rxn01857
Altronate hydrolase (EC 4.2.1.7)	peg.1240	D-Galacturonate_Utilization|Entner-Doudoroff_Pathway	Carbohydrates	rxn01122
prevents sporulation by dephosphorylating Spo0F-P (and thus the phosphorelay)	peg.1244			
inhibitor of the activity of phosphatase RapA	peg.1245			
involved in defective prophage PBSX-mediated lysis	peg.1247			
DUF1696 domain-containing protein	peg.1248			
phage-related replication protein	peg.1249			
alternate gene name: ykxA PBSX prophage	peg.1251			
negative regulation of the defective prophage PBSX genes	peg.1252			
alternate gene name: ykxB PBSX prophage	peg.1253			
Phage-like element PBSX protein xkdC	peg.1254			
alternate gene name: ykxD PBSX prophage	peg.1255			
PBSX prophage	peg.1256|peg.1260|peg.1261|peg.1262|peg.1263|peg.1264|peg.1265|peg.1266|peg.1267|peg.1268|peg.1269|peg.1270|peg.1271|peg.1272|peg.1273|peg.1274|peg.1275|peg.1277|peg.1278|peg.1279			
required for expression of the PBSX late operon	peg.1257			
Phage terminase small subunit	peg.1258			
PBSX defective prophage terminase (large subunit)	peg.1259			
protein	peg.1276|peg.1930|peg.2098			
lytic exoenzyme associated with defective prophage PBSX	peg.1280			
involved in cell lysis upon induction of defective prophage PBSX	peg.1281|peg.1282			
major role in defective prophage PBSX-mediated lysis	peg.1283			
disruption blocks sporulation after septum formation	peg.1284			
alternate gene name: ykaC lethal when synthesized during vegetative growth in the absence of SpoIISB	peg.1285			
Probable low-affinity inorganic phosphate transporter	peg.1286			rxn05312
amino acid permease family protein	peg.1288|peg.3056			
putative integral membrane protein	peg.1290|peg.3361|peg.4055			
Glycosyltransferase	peg.1291|peg.3438|peg.3440			
"Serine protease, DegP/HtrA, do-like (EC 3.4.21.-)"	peg.1292|peg.4042	HtrA_and_Sec_secretion	Protein Metabolism	
"Pyrroline-5-carboxylate reductase (EC 1.5.1.2), ProG-like"	peg.1293	"Proline,_4-hydroxyproline_uptake_and_utilization|Proline_Synthesis"	Amino Acids and Derivatives	rxn00929|rxn00931
D-aminopeptidase	peg.1294			rxn07466
Dipeptide transport system permease protein dppB (TC 3.A.1.5.2)	peg.1295	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	Membrane Transport	rxn05536|rxn05544|rxn05534|rxn05539|rxn05541|rxn05547|rxn05546|rxn05537|rxn05542|rxn05535|rxn05543|rxn05533|rxn05545|rxn05538|rxn05540
Dipeptide transport system permease protein dppC (TC 3.A.1.5.2)	peg.1296	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	Membrane Transport	rxn05536|rxn05544|rxn05534|rxn05539|rxn05541|rxn05547|rxn05546|rxn05537|rxn05542|rxn05535|rxn05543|rxn05533|rxn05545|rxn05538|rxn05540
Dipeptide transport ATP-binding protein dppD (TC 3.A.1.5.2)	peg.1297	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	Membrane Transport	rxn05536|rxn05544|rxn05534|rxn05539|rxn05541|rxn05547|rxn05546|rxn05537|rxn05542|rxn05535|rxn05543|rxn05533|rxn05545|rxn05538|rxn05540
"Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)"	peg.1298	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	Membrane Transport	rxn05536|rxn05544|rxn05534|rxn05539|rxn05541|rxn05547|rxn05546|rxn05537|rxn05542|rxn05535|rxn05543|rxn05533|rxn05545|rxn05538|rxn05540
Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)	peg.1299			
L-alanine-DL-glutamate epimerase	peg.1300			rxn08100
NLP/P60 family protein	peg.1301			
6-phosphogluconolactonase (EC 3.1.1.31)	peg.1303	Entner-Doudoroff_Pathway|Formaldehyde_assimilation:_Ribulose_monophosphate_pathway|Pentose_phosphate_pathway	Carbohydrates	rxn01476
"NG,NG-dimethylarginine dimethylaminohydrolase 1 (EC 3.5.3.18)"	peg.1304			rxn01819
Acyl-CoA hydrolase (EC 3.1.2.20)	peg.1305			
Flavohemoprotein (Hemoglobin-like protein) (Flavohemoglobin) (Nitric oxide dioxygenase) (EC 1.14.12.17)	peg.1306			rxn03991|rxn03990
Quaternary ammonium compound-resistance protein sugE	peg.1311|peg.1312|peg.3455|peg.3456			
Formyltetrahydrofolate deformylase (EC 3.5.1.10)	peg.1313	5-FCL-like_protein|One-carbon_metabolism_by_tetrahydropterines	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Carbohydrates"	rxn00691
Glutamate 5-kinase (EC 2.7.2.11)	peg.1314|peg.1851	"Iojap|Proline,_4-hydroxyproline_uptake_and_utilization|Proline_Synthesis"	Protein Metabolism|Amino Acids and Derivatives	rxn00179
Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	peg.1315	"Iojap|Proline,_4-hydroxyproline_uptake_and_utilization|Proline_Synthesis|YgfZ"	"Protein Metabolism|Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02373
Organic hydroperoxide resistance protein	peg.1316|peg.1318	Oxidative_stress	Stress Response	
Guanine deaminase (EC 3.5.4.3)	peg.1319	Purine_conversions	Nucleosides and Nucleotides	rxn01225
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	peg.1320	Methionine_Biosynthesis	Amino Acids and Derivatives	rxn00693
Major intracellular serine protease precursor (EC 3.4.21.-)	peg.1321			
Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	peg.1323	Thiamin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05177
Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	peg.1324			rxn05177
Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	peg.1325	Thiamin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05177
Additional substrate-binding component of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	peg.1326	Thiamin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05177
YKOI	peg.1329			
YKOJ	peg.1330			
Magnesium transporter	peg.1332			rxn05616
"global nitrogen regulation (positive regulation of nrgAB, nasB, gabP, ureABC"	peg.1333			
negative regulation of glnRA)	peg.1333			
"1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157)"	peg.1337			rxn10283|rxn10286|rxn10288|rxn10281|rxn10280|rxn10285|rxn10287|rxn10282|rxn10284
phosphoesterase	peg.1339			
alternate gene name: ykoR	peg.1340			
"ATP-dependent DNA ligase (EC 6.5.1.1) clustered with Ku protein, LigD"	peg.1342	Nonhomologous_End-Joining_in_Bacteria	DNA Metabolism	rxn05294
Ku domain protein	peg.1343	Nonhomologous_End-Joining_in_Bacteria	DNA Metabolism	
Predicted signal transduction protein	peg.1344	Motility_of_Campylobacter	Motility and Chemotaxis	
